epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,18079.3,0.42418,0.38381,1.03678,0.97539,0.9766,0.98739,0.93365,0.39721,0.30133,0.84348,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,18376.6,0.42074,0.37602,1.03254,0.97551,0.97749,0.98761,0.93317,0.39718,0.29969,0.84382,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,18673.7,0.41353,0.37665,1.02776,0.98196,0.97493,0.98763,0.93403,0.3961,0.299,0.84257,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,18971.2,0.4104,0.36751,1.02618,0.98383,0.97414,0.98768,0.93463,0.39389,0.29818,0.84079,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,19269.9,0.41049,0.36773,1.02701,0.97931,0.97659,0.98782,0.93628,0.39096,0.29729,0.83748,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,19568.4,0.40915,0.3669,1.02672,0.98185,0.97623,0.98788,0.93653,0.38835,0.29578,0.83461,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,19865.3,0.40281,0.36039,1.02102,0.98522,0.97389,0.98782,0.93727,0.38675,0.29584,0.83184,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,20163.8,0.39934,0.35781,1.01738,0.98605,0.97364,0.98809,0.93763,0.38411,0.29516,0.82845,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,20500.7,0.33761,0.28064,1.03063,0.97683,0.9795,0.98819,0.93934,0.37763,0.29224,0.82204,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,20797.8,0.32284,0.25889,1.01839,0.98828,0.97427,0.98829,0.94052,0.37493,0.28934,0.81876,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,21095.2,0.31716,0.25261,1.01363,0.98643,0.9765,0.98851,0.94144,0.37131,0.28638,0.81513,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,21394.7,0.31011,0.2441,1.00582,0.9878,0.97533,0.98852,0.94206,0.36945,0.28494,0.81332,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,21692.9,0.30168,0.2395,0.99964,0.98331,0.97806,0.98866,0.94351,0.36549,0.28245,0.8093,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,21958.9,0.30034,0.2342,0.99747,0.98414,0.97826,0.98871,0.94468,0.3623,0.28,0.80605,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,22157.2,0.29265,0.22874,0.99126,0.98686,0.97679,0.98879,0.94569,0.3596,0.27854,0.80372,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,22359.3,0.29032,0.22709,0.99252,0.98773,0.9769,0.98887,0.94624,0.35731,0.27749,0.80167,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,22561.9,0.28548,0.22361,0.9867,0.98798,0.97716,0.98891,0.9469,0.35506,0.27645,0.7996,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,22765.8,0.28289,0.22072,0.98506,0.98853,0.97736,0.98907,0.94704,0.35348,0.27519,0.79805,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
